,Forecast
2020-05-04,0.012590985193656916
2020-05-05,0.012591860735976191
2020-05-06,0.012592553873645619
2020-05-07,0.012593064606665197
2020-05-08,0.01259344765642988
2020-05-09,0.012593739503869638
2020-05-10,0.012593921908519488
2020-05-11,0.012594049591774382
2020-05-12,0.012594140794099307
2020-05-13,0.012594195515494263
2020-05-14,0.012594213755959247
2020-05-15,0.012594250236889216
2020-05-16,0.012594250236889216
2020-05-17,0.012594250236889216
2020-05-18,0.012594250236889216
2020-05-19,0.012594231996424232
2020-05-20,0.012594250236889216
2020-05-21,0.012594250236889216
2020-05-22,0.012594195515494263
